positive,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .
neutral,Vacon will supply drives to Ruselprom in the power range from 200 kW up to 2 MW .
positive,"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla ."
positive,"Via the Satlan acquisition , Teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and IPTV service providers ."
positive,"With the acquisition , the company will expand its offering to North , Central and South America , it said ."
positive,"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said ."
positive,YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .
positive,"`` BasWare 's product sales grew strongly in the financial period , by 24 percent ."
positive,"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO ."
positive,"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations ."
positive,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .
neutral,Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .
positive,"Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo , in Finland ."
positive,Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .
positive,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .
positive,Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .
positive,Componenta 's objective with this agreement is to increase business on its existing production lines .
positive,"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 ."
positive,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .
positive,"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology ."
positive,"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur ."
positive,EPS grew to 0.04 eur from 0.02 eur .
positive,Exports grew 16.5 percent to 19.1 million liters .
positive,"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 ."
positive,Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .
positive,"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 ."
positive,"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn ."
positive,"GeoSentric Oyj s GeoSolutions Business Unit GyPSii , the mobile digital lifestyle application and geo-mobility social networking platform , has signed an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile ."
positive,HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .
positive,"However , the proportion of the paid standing orders grew in 2009 ."
positive,"In addition to the demand in Finland , the export of lining stone products also increased ."
positive,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 ."
positive,"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 ."
positive,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ."
positive,"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million ."
positive,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .
positive,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 ."
positive,"ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe ."
positive,Marimekko Group 's full-year net sales are estimated to increase by about 10 % .
positive,Net sales surged by 30 % to EUR 36 million .
